subText_ID,Text_ID
W1AC16-I2PD18488,W1AC16
W1KG9772-I1KG9796,W1KG9772
W1PD105855-I1PD105857,W1PD105855
W3CN7099-I3CN7119,W3CN7099
W3CN7099-I3CN7115,W3CN7099
W20571-I1PD30392,W20571
W2PD19889-I2PD20535,W2PD19889
W3CN3408-I3CN4469,W3CN3408
W4CZ294459-I4CZ294591,W4CZ294459
W1KG22024-I1KG22305,W1KG22024
W1KG21600-I1KG21727,W1KG21600
W1GS44552-I1GS44556,W1GS44552
W3CN4350-I3CN4558,W3CN4350
W1KG23598-I1KG23637,W1KG23598
W3CN5057-I3CN5059,W3CN5057
W29666-5553,W29666
W22008-I1KG14887,W22008
W2PD19901-I2PD20730,W2PD19901
W3CN5081-I3CN5083,W3CN5081
W20146-I1GS55151,W20146
W1KG13770-I1KG15221,W1KG13770
W1KG17212-I1KG17633,W1KG17212
W1KG17218-I1KG17903,W1KG17218
W3CN5144-I3CN5146,W3CN5144
W8LS19123-I8LS19125,W8LS19123
W1PD179846-I1KG16282,W1PD179846
W1KG6159-I1KG8915,W1KG6159
W3CN5243-I3CN5245,W3CN5243
W3CN5357-I3CN5359,W3CN5357
W8LS20620-I8LS20622,W8LS20620
W1KG23647-I1KG23682,W1KG23647
W3CN2191-I3CN2193,W3CN2191
W8LS18091-I8LS18122,W8LS18091
W3CN5291-I3CN5293,W3CN5291
W3CN4314-I3CN8548,W3CN4314
W8LS18148-I8LS18171,W8LS18148
W3CN5414-I3CN5416,W3CN5414
W1KG17214-I1KG17642,W1KG17214
W1KG23601-I1KG23643,W1KG23601
W21618-I1KG22773,W21618
W3CN561-I3CN4031,W3CN561
W1KG24995-I1KG24997,W1KG24995
W3CN4666-I3CN4668,W3CN4666
W3CN4681-I3CN4683,W3CN4681
W1KG8475-I1KG8513,W1KG8475
W21945-I1KG23328,W21945
W1KG18535-I1KG18555,W1KG18535
W3CN8018-I3CN8020,W3CN8018
W1KG22235-I1KG22291,W1KG22235
W3CN2397-I3CN2399,W3CN2397
W20171-I1GS55147,W20171
W1KG13794-I1KG15377,W1KG13794
W1KG23850-I1KG24063,W1KG23850
W22025-I1KG21814,W22025
W3CN5234-I3CN5236,W3CN5234
W00KG02743-I00KG02775,W00KG02743
W12486-I1KG23692,W12486
W1KG24977-I1KG24982,W1KG24977
W8LS17977-I8LS17988,W8LS17977
W1KG24977-I1KG24985,W1KG24977
W2PD17646-I2PD19253,W2PD17646
W15232-I1GS65490,W15232
W1KG11869-I1KG18520,W1KG11869
W1KG16586-I2PD18747,W1KG16586
W1KG21753-I1KG21835,W1KG21753
W1KG22186-I1KG22228,W1KG22186
W1PD89024-I1KG17053,W1PD89024
W21595-4709,W21595
W2PD19887-I2PD20549,W2PD19887
W30517-I1KG21729,W30517
W3CN6685-I3CN6687,W3CN6685
W1KG18532-I1KG18551,W1KG18532
W1KG9608-I1KG9613,W1KG9608
W3CN5180-I3CN5182,W3CN5180
W1KG13785-I1KG15348,W1KG13785
W1KG14784-I1KG14883,W1KG14784
W1KG21821-I1KG21901,W1KG21821
W1KG16599-I1KG16617,W1KG16599
W1KG24977-I1KG24980,W1KG24977
W3CN521-I3CN8483,W3CN521
W8LS20239-I8LS20241,W8LS20239
W1KG23669-I1KG23694,W1KG23669
W29152-I1KG14837,W29152
W3CN5063-I3CN5065,W3CN5063
W3CN5273-I3CN5275,W3CN5273
W3CN5390-I3CN5392,W3CN5390
W2PD19374-I2PD19376,W2PD19374
W1KG24847-I1KG24849,W1KG24847
W3CN2116-I3CN2118,W3CN2116
W3CN4278-I3CN4302,W3CN4278
W3CN4945-I3CN4947,W3CN4945
W1KG15846-I1KG15848,W1KG15846
W3CN5387-I3CN5389,W3CN5387
W3CN8015-I3CN8017,W3CN8015
W1KG24977-I1KG24979,W1KG24977
W2PD19386-I2PD19912,W2PD19386
W22359-I00KG010132,W22359
W1KG23490-I1KG23536,W1KG23490
W1KG24019-I1KG24079,W1KG24019
W1PD88977-I1KG17051,W1PD88977
W21767-I1KG14891,W21767
W1KG17599-I1KG17989,W1KG17599
W1KG8464-I1KG8503,W1KG8464
W20172-I1KG23336,W20172
W3CN530-I3CN8635,W3CN530
W00KG03598-I00KG03616,W00KG03598
W1KG12625-I1KG15013,W1KG12625
W1KG15995-I1KG16202,W1KG15995
W1KG25171-I1KG25173,W1KG25171
W1KG18533-I1KG18560,W1KG18533
W21782-I1KG23247,W21782
W1KG15849-I1KG15851,W1KG15849
W1KG18573-I1KG20846,W1KG18573
W21686-I1KG13083,W21686
W21804-I1KG22771,W21804
W3CN5078-I3CN5080,W3CN5078
W3CN6849-I3CN6851,W3CN6849
W1KG13781-I1KG15281,W1KG13781
W1KG18530-I1KG18547,W1KG18530
W1KG24057-I1KG24209,W1KG24057
W30474-I1KG23324,W30474
W21586-I1KG21881,W21586
W23663-I1KG22779,W23663
W29263-I1KG23202,W29263
W3CN5111-I3CN5113,W3CN5111
W3CN6609-I3CN6611,W3CN6609
W3CN3425-I3CN7766,W3CN3425
W1KG18573-I1KG18667,W1KG18573
W3CN4738-I3CN4740,W3CN4738
W20520-I00KG06690,W20520
W1KG14491-I1KG14839,W1KG14491
W1KG21595-I1KG21689,W1KG21595
W1KG23421-I1KG23496,W1KG23421
W20095-I1KG17305,W20095
W20221-I1KG23278,W20221
W30518-I1KG21739,W30518
W3CN5072-I3CN5074,W3CN5072
W18124-I1KG23839,W18124
W1KG26107-I1KG26335,W1KG26107
W25144-I1KG23322,W25144
W2PD17649-I2PD19545,W2PD17649
W3CN5468-I3CN5471,W3CN5468
W3CN5177-I3CN5179,W3CN5177
W1KG15365-I1KG15391,W1KG15365
W1KG17607-I1KG17922,W1KG17607
W1KG24977-I1KG24981,W1KG24977
W3CN8390-I3CN8392,W3CN8390
W3CN4273-I3CN4292,W3CN4273
W24827-I1KG23206,W24827
W30525-I1KG16922,W30525
W3CN5168-I3CN5170,W3CN5168
W3CN540-I3CN3782,W3CN540
W8LS20730-I8LS20737,W8LS20730
W3PD430-I2PD17816,W3PD430
W1KG14132-I1KG14321,W1KG14132
W1KG22001-I1KG22080,W1KG22001
W1PD159451-I4PD4571,W1PD159451
W3CN4336-I3CN4586,W3CN4336
W3CN6594-I3CN6596,W3CN6594
W3CN6900-I3CN6902,W3CN6900
W3CN7099-I3CN7109,W3CN7099
W1KG8317-I1KG8497,W1KG8317
W1PD159445-I2PD19680,W1PD159445
W20393-5688,W20393
W30419-I1KG23231,W30419
W3CN4982-I3CN4984,W3CN4982
W1KG21291-I1KG21571,W1KG21291
W1PD159451-I4PD4570,W1PD159451
W20018-I1KG21763,W20018
W14130-I1PD5292,W14130
W1AC233-I2PD18830,W1AC233
W1AC426-I2PD18865,W1AC426
W1KG17605-I1KG17918,W1KG17605
W1KG6157-I1KG8407,W1KG6157
W1PD90704-I1PD90706,W1PD90704
W22071-I1KG18061,W22071
W4PD502-I4PD4092,W4PD502
W20433-I1GS53491,W20433
W1KG24101-I1KG24234,W1KG24101
W1KG24859-I1KG24861,W1KG24859
W1PD137889-I2PD18897,W1PD137889
W22097-I1KG24083,W22097
W23438-1937,W23438
W3CN4970-I3CN4972,W3CN4970
W1KG13792-I1KG15371,W1KG13792
W1KG16736-I1KG16780,W1KG16736
W525-I1KG18225,W525
W00KG02330-I00KG02350,W00KG02330
W1KG25009-I1KG25011,W1KG25009
W1PD90120-I1PD90135,W1PD90120
W21864-I1KG22958,W21864
W2PD17467-I4PD2925,W2PD17467
W2PD17467-I4PD2922,W2PD17467
W3CN5411-I3CN5413,W3CN5411
W1KG24618-I1KG24637,W1KG24618
W1KG25027-I1KG25029,W1KG25027
W1PD90126-I1PD90147,W1PD90126
W2PD17467-I4PD2917,W2PD17467
W3CN7913-I3CN7919,W3CN7913
W4PD502-I4PD4096,W4PD502
W1KG14749-I2PD18171,W1KG14749
W1KG17025-I1KG17063,W1KG17025
W1KG22269-I1KG22317,W1KG22269
W1KG6254-I1KG13599,W1KG6254
W1PD90124-I1PD90143,W1PD90124
W942-I1KG14819,W942
W20189-I1KG23218,W20189
W21997-4814,W21997
W1AC323-I2PD18673,W1AC323
W1AC34-I2PD18911,W1AC34
W1KG21818-I1KG21886,W1KG21818
W1PD90128-I1PD90151,W1PD90128
W21875-I1KG22925,W21875
W1KG25852-I1KG25854,W1KG25852
W29489-I1KG23004,W29489
W3CN4771-I3CN4773,W3CN4771
W3CN5429-I3CN5431,W3CN5429
W1AC333-I2PD18631,W1AC333
W1KG17421-I1KG18003,W1KG17421
W1PD159451-I4PD4566,W1PD159451
W3CN4744-I3CN4746,W3CN4744
W19999-I1PD86097,W19999
W1KG21837-I1KG21943,W1KG21837
W1KG23667-I1KG23774,W1KG23667
W21769-4870,W21769
W2PD19200-I2PD19213,W2PD19200
W2PD17467-I4PD2919,W2PD17467
W1KG17024-I1KG17061,W1KG17024
W1KG25228-I1KG25230,W1KG25228
W1KG1796-I1KG1862,W1KG1796
W1KG18574-I1KG18669,W1KG18574
W1KG26110-I1KG26340,W1KG26110
W2PD17467-I4PD2920,W2PD17467
W3CN5318-I3CN5320,W3CN5318
W00EGS1016982-I00EGS1016998,W00EGS1016982
W1KG15366-I1KG15393,W1KG15366
W1KG4520-I1KG4539,W1KG4520
W1PD159451-I4PD4565,W1PD159451
W3CN5532-I3CN5534,W3CN5532
W3PD398-I4PD3274,W3PD398
W1AC280-I2PD17818,W1AC280
W1KG13779-I1KG15277,W1KG13779
W1KG18537-I1KG18542,W1KG18537
W3CN5219-I3CN5221,W3CN5219
W3CN5330-I3CN5332,W3CN5330
W1AC240-I2PD18879,W1AC240
W1AC52-I2PD18926,W1AC52
W1AC55-I2PD18859,W1AC55
W1KG16581-I2PD18461,W1KG16581
W1PD137852-I2PD19648,W1PD137852
W1PD159451-I4PD4562,W1PD159451
W3CN5174-I3CN5176,W3CN5174
W1KG25180-I1KG25182,W1KG25180
W20464-4752,W20464
W3CN4594-I3CN4596,W3CN4594
W3CN5297-I3CN5299,W3CN5297
W8LS17499-I8LS17508,W8LS17499
W1PD159451-I4PD4569,W1PD159451
W2PD17467-I4PD2924,W2PD17467
W2PD19096-I2PD20282,W2PD19096
W3CN4636-I3CN4638,W3CN4636
W3CN5102-I3CN5104,W3CN5102
W3CN5568-I3CN5570,W3CN5568
W3PD398-I4PD3259,W3PD398
W3PD398-I4PD3280,W3PD398
W3CN4693-I3CN4695,W3CN4693
W1KG25377-I1KG25379,W1KG25377
W8LS20664-I8LS20666,W8LS20664
W1KG24218-I1KG24295,W1KG24218
W1PD105890-I1PD105892,W1PD105890
W3CN524-I3CN8626,W3CN524
W3CN5405-I3CN5407,W3CN5405
W3PD398-I4PD3266,W3PD398
W3PD398-I4PD3264,W3PD398
W4PD502-I4PD4114,W4PD502
W00EGS1017219-I00EGS1017221,W00EGS1017219
W15222-I1KG22763,W15222
W1KG14646-I1KG15706,W1KG14646
W22035-I1KG18057,W22035
W22076-I1KG18067,W22076
W2CZ8042-I1KG18827,W2CZ8042
W2DB4592-I1KG20937,W2DB4592
W2PD17467-I4PD2923,W2PD17467
W2PD19197-I2PD19207,W2PD19197
W3CN3374-I3CN3527,W3CN3374
W3PD355-I2PD18289,W3PD355
W3PD398-I4PD3272,W3PD398
W1AC466-I2PD18735,W1AC466
W1KG13813-I1KG15799,W1KG13813
W1KG24034-I1KG24182,W1KG24034
W21884-I1KG14895,W21884
W3CN4936-I3CN4938,W3CN4936
W3PD398-I4PD3267,W3PD398
W3CN7099-I3CN7107,W3CN7099
W18127-I1KG14919,W18127
W19999-I1PD86096,W19999
W3PD358-I4PD4682,W3PD358
W3MS838-I3MS840,W3MS838
W19999-I1PD86095,W19999
W1KG13012-I1KG13085,W1KG13012
W1KG22951-I1KG23018,W1KG22951
W1KG24357-I1KG24457,W1KG24357
W1PD152291-I2PD18419,W1PD152291
W3CN4844-I3CN4846,W3CN4844
W15269-I1KG5126,W15269
W1KG15471-I1KG16263,W1KG15471
W2PD16798-I2PD16802,W2PD16798
W3CN4307-I3CN4322,W3CN4307
W4PD502-I4PD4119,W4PD502
W3CN4687-I3CN4689,W3CN4687
W1KG15521-I1KG15841,W1KG15521
W20062-I1KG21604,W20062
W30106-I1KG13743,W30106
W3CN3345-I3CN3451,W3CN3345
W3CN7099-I3CN7101,W3CN7099
W1KG15471-I1KG16264,W1KG15471
W1KG16208-I1KG16237,W1KG16208
W1KG18563-I1KG18633,W1KG18563
W1KG21596-I1KG21691,W1KG21596
W1PD159451-I4PD4564,W1PD159451
W1PD90704-I1PD90708,W1PD90704
W22023-I1KG13532,W22023
W29144-I1KG17071,W29144
W3CN7829-I3CN7832,W3CN7829
W21863-5685,W21863
W00EGS1016937-I01JW217,W00EGS1016937
W1KG25219-I1KG25221,W1KG25219
W1PD90704-I1PD90709,W1PD90704
W29520-I1KG22703,W29520
W1KG15855-I1KG15919,W1KG15855
W1PD105852-I1PD105854,W1PD105852
W8LS18445-I8LS18447,W8LS18445
W8LS20677-I8LS20679,W8LS20677
W1PD159439-I2PD19670,W1PD159439
W3CN7054-I3CN7056,W3CN7054
W3PD405-I2PD18030,W3PD405
W1AC291-I2PD18849,W1AC291
W1AC35-I2PD18382,W1AC35
W1AC463-I2PD18380,W1AC463
W1AC28-I2PD18851,W1AC28
W1KG13981-I1KG13986,W1KG13981
W1KG21841-I1KG22015,W1KG21841
W1PD90704-I1PD90710,W1PD90704
W30422-I1KG23280,W30422
W3CN3391-I3CN4255,W3CN3391
W4PD502-I4PD4007,W4PD502
W1PD90704-I1PD90707,W1PD90704
W1AC364-I2PD17994,W1AC364
W1PD133151-I2PD19297,W1PD133151
W3CN4780-I3CN8691,W3CN4780
W3CN7099-I3CN7105,W3CN7099
W3CN5823-I3CN5830,W3CN5823
W1AC50-I2PD18743,W1AC50
W20106-I1KG18005,W20106
W22068-I1KG17259,W22068
W1KG23700-I1KG23787,W1KG23700
W30408-I1GS105508,W30408
W3CN525-I3CN8488,W3CN525
W1KG25246-I1KG25248,W1KG25246
W1PD137838-I2PD18305,W1PD137838
W8LS18472-I8LS18474,W8LS18472
W1KG25383-I1KG25385,W1KG25383
W1KG8471-I1KG8509,W1KG8471
W1PD105884-I1PD105886,W1PD105884
W3PD398-I4PD3273,W3PD398
W1KG16581-I2PD18464,W1KG16581
W18133-I1PD36385,W18133
W1KG15471-I1KG16266,W1KG15471
W1KG18189-I1KG18298,W1KG18189
W1KG23666-I1KG23735,W1KG23666
W20468-I1GS105496,W20468
W3CN7719-I3CN7726,W3CN7719
W1KG14738-I2PD18810,W1KG14738
W1KG16567-I2PD17883,W1KG16567
W322-I1KG16162,W322
W3CN4343-I3CN4572,W3CN4343
W3CN7991-I3CN7993,W3CN7991
W8LS20504-I8LS20506,W8LS20504
W1KG18169-I1KG18210,W1KG18169
W1KG23671-I1KG23778,W1KG23671
W21663-I1KG21894,W21663
W22151-I1PD28106,W22151
W4PD502-I4PD4118,W4PD502
W1KG23711-I1KG23811,W1KG23711
W1KG25168-I1KG25170,W1KG25168
W3PD398-I4PD3255,W3PD398
W4PD502-I4PD4111,W4PD502
W1KG14786-I1KG14823,W1KG14786
W1KG16945-I1KG18203,W1KG16945
W1KG18254-I1KG18300,W1KG18254
W1KG21756-I1KG21853,W1KG21756
W1KG24061-I1KG24227,W1KG24061
W2PD17614-I4PD4237,W2PD17614
W3CN6332-I3CN6334,W3CN6332
W3CN5417-I3CN5419,W3CN5417
W1KG22039-I1KG22082,W1KG22039
W21873-I1KG23233,W21873
W3CN3425-I3CN7751,W3CN3425
W3CN8387-I3CN8389,W3CN8387
W1AC362-I4PD4488,W1AC362
W1AC439-I2PD18828,W1AC439
W1KG23697-I1KG23780,W1KG23697
W1PD105878-I1PD105880,W1PD105878
W3CN7719-I3CN7727,W3CN7719
W1KG16652-I4PD2623,W1KG16652
W1KG21758-I1KG21859,W1KG21758
W3CN3408-I3CN4390,W3CN3408
W8LS20227-I8LS20229,W8LS20227
W00EGS1017328-I00EGS1017330,W00EGS1017328
W1KG18292-I1KG18418,W1KG18292
W1KG21829-I1KG21926,W1KG21829
W21765-I1KG21234,W21765
W3CN4341-I3CN4576,W3CN4341
W3CN8369-I3CN8371,W3CN8369
W4PD502-I4PD4022,W4PD502
W1KG16726-I1KG18288,W1KG16726
W1KG16928-I1KG17096,W1KG16928
W1KG24974-I1KG24976,W1KG24974
W3CN3397-I3CN8566,W3CN3397
W3CN4909-I3CN8669,W3CN4909
W1AC384-I2PD18235,W1AC384
W1KG23718-I1KG23861,W1KG23718
W26078-4413,W26078
W1KG24726-I1KG24728,W1KG24726
W19479-I1GS105458,W19479
W1KG24060-I1KG24225,W1KG24060
W1KG24106-I1KG24259,W1KG24106
W1KG25192-I1KG25194,W1KG25192
W20085-I1KG18040,W20085
W1KG23650-I1KG23727,W1KG23650
W11757-I1KG21868,W11757
W1KG16581-I2PD18463,W1KG16581
W1KG25300-I1KG25302,W1KG25300
W20166-I1KG16756,W20166
W3CN4774-I3CN4776,W3CN4774
W3CN8046-I3CN8409,W3CN8046
W3CN3408-I3CN4428,W3CN3408
W1AC327-I4PD4421,W1AC327
W1AC389-I2PD18245,W1AC389
W1KG13981-I1KG13985,W1KG13981
W1KG16655-I4PD2643,W1KG16655
W1KG16673-I2PD18156,W1KG16673
W1KG25213-I1KG25215,W1KG25213
W3PD398-I4PD3261,W3PD398
W3CN7099-I3CN7117,W3CN7099
W1KG25150-I1KG25152,W1KG25150
W3CN5823-I3CN5827,W3CN5823
W1KG14733-I2PD17899,W1KG14733
W1KG16556-I2PD18843,W1KG16556
W1KG16581-I2PD18456,W1KG16581
W1KG16652-I4PD2620,W1KG16652
W1KG17057-I1KG18472,W1KG17057
W1KG21757-I1KG21857,W1KG21757
W1KG22949-I1KG23014,W1KG22949
W1KG24648-I1KG24715,W1KG24648
W3CN5468-I3CN5470,W3CN5468
W3CN8036-I3CN8038,W3CN8036
W1AC381-I2PD18932,W1AC381
W1KG20781-I1KG20829,W1KG20781
W3CN4648-I3CN4650,W3CN4648
W3CN7920-I3CN7926,W3CN7920
W1AC309-I4PD2746,W1AC309
W1KG14815-I1KG14847,W1KG14815
W1KG16666-I4PD2672,W1KG16666
W1KG18170-I1KG18212,W1KG18170
W28832-I1PD28104,W28832
W3CN7099-I3CN7103,W3CN7099
W3CN7719-I3CN7728,W3CN7719
W2PD17467-I4PD2921,W2PD17467
W1AC282-I2PD18338,W1AC282
W1KG15471-I1KG16265,W1KG15471
W1KG21230-I1KG21305,W1KG21230
W1KG21273-I1KG21315,W1KG21273
W3CN3344-I3CN3448,W3CN3344
W3CN556-I3CN3981,W3CN556
W1KG24723-I1KG24725,W1KG24723
W3CN5481-I3CN5483,W3CN5481
W1AC414-I2PD18364,W1AC414
W1KG17210-I1KG17638,W1KG17210
W1KG18172-I1KG18216,W1KG18172
W1KG23851-I1KG24065,W1KG23851
W1PD152291-I2PD18409,W1PD152291
W2PD17467-I4PD2916,W2PD17467
W3PD246-I2PD18291,W3PD246
W4PD502-I4PD4005,W4PD502
W1KG16464-I1KG16470,W1KG16464
W1KG17281-I1KG17613,W1KG17281
W1KG21838-I1KG21950,W1KG21838
W1KG25195-I1KG25197,W1KG25195
W21943-I1GS54236,W21943
W3CN7910-I3CN7912,W3CN7910
W1KG16726-I1KG18289,W1KG16726
W1KG18765-I1KG20611,W1KG18765
W1KG20639-I1KG20759,W1KG20639
W1PD159451-I4PD4568,W1PD159451
